time,price_dollars,side,qty
2020-01-13 09:30:00.025913753,998.14,BID,41
2020-01-13 09:30:00.025913753,998.16,BID,11
2020-01-13 09:30:00.025913753,998.28,BID,48
2020-01-13 09:30:00.025913753,998.31,BID,25
2020-01-13 09:30:00.025913753,998.5,BID,101
2020-01-13 09:30:00.025913753,998.59,BID,242
2020-01-13 09:30:00.025913753,999.45,ASK,262
2020-01-13 09:30:00.025913753,999.8,ASK,21
2020-01-13 09:30:00.025913753,999.84,ASK,31
2020-01-13 09:30:00.025913753,1000.18,ASK,47
2020-01-13 09:30:00.025913753,1000.35,ASK,32
2020-01-13 09:30:00.025913753,1000.66,ASK,22
2020-01-13 09:30:00.025913753,1000.8,ASK,49
2020-01-13 09:30:00.026938639,997.24,BID,42
2020-01-13 09:30:00.026938639,997.25,BID,21
2020-01-13 09:30:00.026938639,997.31,BID,48
2020-01-13 09:30:00.026938639,997.37,BID,34
2020-01-13 09:30:00.026938639,997.44,BID,26
2020-01-13 09:30:00.026938639,997.48,BID,40
2020-01-13 09:30:00.026938639,997.6,BID,27
2020-01-13 09:30:00.026938639,997.72,BID,23
2020-01-13 09:30:00.026938639,997.75,BID,20
2020-01-13 09:30:00.026938639,997.78,BID,46
2020-01-13 09:30:00.026938639,997.86,BID,39
2020-01-13 09:30:00.026938639,997.87,BID,44
2020-01-13 09:30:00.026938639,997.89,BID,65
2020-01-13 09:30:00.026938639,997.91,BID,2177
2020-01-13 09:30:00.026938639,998.03,BID,34
2020-01-13 09:30:00.026938639,998.05,BID,34
2020-01-13 09:30:00.026938639,998.12,BID,93
2020-01-13 09:30:00.026938639,998.13,BID,28
2020-01-13 09:30:00.026938639,998.14,BID,41
2020-01-13 09:30:00.026938639,998.16,BID,11
2020-01-13 09:30:00.026938639,998.28,BID,48
2020-01-13 09:30:00.026938639,998.31,BID,25
2020-01-13 09:30:00.026938639,998.5,BID,101
2020-01-13 09:30:00.026938639,998.59,BID,501
2020-01-13 09:30:00.026938639,999.45,ASK,286
2020-01-13 09:30:00.026938639,999.8,ASK,21
2020-01-13 09:30:00.026938639,999.84,ASK,31
2020-01-13 09:30:00.026938639,1000.18,ASK,47
2020-01-13 09:30:00.026938639,1000.35,ASK,32
2020-01-13 09:30:00.026938639,1000.66,ASK,22
2020-01-13 09:30:00.026938639,1000.8,ASK,49
2020-01-13 09:30:00.028002694,997.24,BID,42
2020-01-13 09:30:00.028002694,997.25,BID,21
2020-01-13 09:30:00.028002694,997.31,BID,48
2020-01-13 09:30:00.028002694,997.37,BID,34
2020-01-13 09:30:00.028002694,997.44,BID,26
2020-01-13 09:30:00.028002694,997.48,BID,40
2020-01-13 09:30:00.028002694,997.6,BID,27
2020-01-13 09:30:00.028002694,997.72,BID,23
2020-01-13 09:30:00.028002694,997.75,BID,20
2020-01-13 09:30:00.028002694,997.78,BID,46
2020-01-13 09:30:00.028002694,997.86,BID,39
2020-01-13 09:30:00.028002694,997.87,BID,44
2020-01-13 09:30:00.028002694,997.89,BID,65
2020-01-13 09:30:00.028002694,997.91,BID,2177
2020-01-13 09:30:00.028002694,998.03,BID,34
2020-01-13 09:30:00.028002694,998.05,BID,34
2020-01-13 09:30:00.028002694,998.12,BID,93
2020-01-13 09:30:00.028002694,998.13,BID,28
2020-01-13 09:30:00.028002694,998.14,BID,41
2020-01-13 09:30:00.028002694,998.16,BID,11
2020-01-13 09:30:00.028002694,998.28,BID,48
2020-01-13 09:30:00.028002694,998.31,BID,25
2020-01-13 09:30:00.028002694,998.4,BID,25
2020-01-13 09:30:00.028002694,998.5,BID,101
2020-01-13 09:30:00.028002694,998.59,BID,1377
2020-01-13 09:30:00.028002694,999.45,ASK,278
2020-01-13 09:30:00.028002694,999.8,ASK,21
2020-01-13 09:30:00.028002694,999.84,ASK,31
2020-01-13 09:30:00.028002694,1000.18,ASK,47
2020-01-13 09:30:00.028002694,1000.35,ASK,32
2020-01-13 09:30:00.028002694,1000.66,ASK,22
2020-01-13 09:30:00.028002694,1000.8,ASK,49
2020-01-13 09:30:00.029125842,997.24,BID,42
2020-01-13 09:30:00.029125842,997.25,BID,21
2020-01-13 09:30:00.029125842,997.31,BID,48
2020-01-13 09:30:00.029125842,997.37,BID,34
2020-01-13 09:30:00.029125842,997.44,BID,26
2020-01-13 09:30:00.029125842,997.48,BID,40
2020-01-13 09:30:00.029125842,997.6,BID,27
2020-01-13 09:30:00.029125842,997.72,BID,23
2020-01-13 09:30:00.029125842,997.75,BID,20
2020-01-13 09:30:00.029125842,997.78,BID,46
2020-01-13 09:30:00.029125842,997.86,BID,39
2020-01-13 09:30:00.029125842,997.87,BID,44
2020-01-13 09:30:00.029125842,997.89,BID,65
2020-01-13 09:30:00.029125842,997.91,BID,2177
2020-01-13 09:30:00.029125842,998.03,BID,34
